Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-01,14:05:47,142573000,3.99884,0.000152,448774,6730,100,0,448774,6730,4,15,1.0012,0.916439,0.195782,0.195547,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60767,3119,Aqueous,0.754773,2.59307e-007,4.86711,9.73422,0.304233,6.2508,0.062508,136.539,0.999767,3.53507,8301.17,2012.53,0.000926772,100%,5,5,0,No Offset,2,1,,,,,1,2.41935e-007,5.21658,10.4332,1.01857,19.5256,0.0381249,160.59,100,100
2,Meas 7,OK,2018-08-01,14:06:24,142573000,3.9991,4.44e-005,451600,5880,100,0,451600,5880,4,15,1.00121,0.916331,0.196287,0.19605,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60765,3119,Aqueous,0.760077,2.58395e-007,4.88427,9.76855,0.362312,7.41792,0.0741792,137.668,0.999892,2.98916,8271.48,2186.41,0.000842959,100%,5,5,0,No Offset,2,1,,,,,1,2.37045e-007,5.3242,10.6484,1.23671,23.2281,0.0539545,168.449,100,100
3,Meas 8,OK,2018-08-01,14:07:01,142573000,3.99893,1.87e-005,450037,4860,100,0,450037,4860,4,15,1.00121,0.915694,0.196621,0.196384,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60766,3119,Aqueous,0.759188,2.55674e-007,4.93627,9.87254,0.306497,6.20908,0.0620908,141.122,0.999782,3.25433,8184.87,1977.67,0.000914776,100%,5,5,0,No Offset,2,1,,,,,1,2.40441e-007,5.24899,10.498,0.825393,15.7248,0.0247269,162.934,100,100
4,Meas 9,OK,2018-08-01,14:07:38,142573000,3.99959,0.000317,448625,3990,100,0,448625,3990,4,15,1.0012,0.915553,0.197023,0.196787,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60763,3119,Aqueous,0.756616,2.57693e-007,4.89759,9.79519,0.250867,5.12225,0.0512225,138.548,1.00007,2.95869,8249.64,1810.01,0.000850821,100%,5,5,0,No Offset,3,2,,,,,1,2.47423e-007,5.10088,10.2018,0.717514,14.0665,0.0197865,152.38,99.1113,99.9875
4,Meas 9,OK,2018-08-01,14:07:38,142573000,3.99959,0.000317,448625,3990,100,0,448625,3990,4,15,1.0012,0.915553,0.197023,0.196787,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60763,3119,Aqueous,0.756616,2.57693e-007,4.89759,9.79519,0.250867,5.12225,0.0512225,138.548,1.00007,2.95869,8249.64,1810.01,0.000850821,100%,5,5,0,No Offset,3,2,,,,,2,4.11901e-009,306.403,612.805,38.6415,12.6114,0.0159046,2211090,0.888667,0.0125476
5,Meas 10,OK,2018-08-01,14:08:14,142573000,4.00077,0.000166,450446,4980,100,0,450446,4980,4,15,1.0012,0.915893,0.197448,0.197211,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60757,3119,Aqueous,0.762423,2.57392e-007,4.90331,9.80662,0.476645,9.72087,0.0972087,138.927,0.999968,2.8442,8235.56,2504.35,0.000825354,100%,5,5,0,No Offset,3,1,,,,,1,2.29451e-007,5.50042,11.0008,1.54087,28.0138,0.0784772,181.784,100,100
6,4.002C,OK,2018-08-01,14:08:52,142573000,4.00173,0.00197,456178,5010,100,0,456178,5010,41,0.25,1.0012,0.914928,0.197772,0.197536,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.60752,3119,Aqueous,0.75678,2.58549e-007,4.88136,9.76272,0.411949,8.43922,0.0843922,137.476,0.999935,2.84985,8275.33,2336.77,0.000796147,100%,5,5,0,No Offset,3,1,,,,,1,2.35452e-007,5.36022,10.7204,1.24657,23.2559,0.0540839,171.127,100,100
7,4.049C,OK,2018-08-01,14:09:29,142574000,4.04914,0.0257,452162,6840,100,0,452162,6840,41,0.25,1.0012,0.915146,0.198087,0.19785,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.6051,3119,Aqueous,0.754705,2.58896e-007,4.88345,9.76691,0.474684,9.72025,0.0972025,137.614,0.999954,3.08736,8283.68,2518.9,0.000825868,100%,5,5,0,No Offset,2,1,,,,,1,2.29406e-007,5.51122,11.0224,1.6546,30.0224,0.0901343,182.621,100,100
8,4.186C,OK,2018-08-01,14:10:06,142574000,4.18604,0.0413,452108,7310,100,0,452108,7310,41,0.25,1.0012,0.914602,0.198249,0.198012,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.59815,3119,Aqueous,0.755017,2.59796e-007,4.89066,9.78132,0.337387,6.89861,0.0689861,138.089,1.00002,2.63244,8316.61,2118.98,0.000881202,100%,5,5,0,No Offset,2,1,,,,,1,2.38529e-007,5.3267,10.6534,1.24555,23.3832,0.0546774,168.634,100,100
9,4.341C,OK,2018-08-01,14:10:43,142574000,4.34064,0.038,447859,2250,100,0,447859,2250,41,0.25,1.0012,0.914397,0.198447,0.198209,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.59035,3119,Aqueous,0.754882,2.60352e-007,4.90609,9.81218,0.404643,8.24777,0.0824777,139.111,0.999947,2.62667,8333.27,2325.45,0.000781084,100%,5,5,0,No Offset,3,1,,,,,1,2.39635e-007,5.33022,10.6604,1.24137,23.2893,0.0542393,168.895,100,100
