Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-04-30,14:31:25,134540000,15.047,0.0256,456741,3540,100,0,456741,3540,15,5,1.00041,0.86389,0.180157,0.180082,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16176,3119,Aqueous,0.746828,4.42861e-007,4.09489,8.18978,0.285214,6.96513,0.0696513,91.1386,0.999941,1.57921,14176.9,3629.67,0.000645781,100%,5,5,0,No Offset,3,2,,,,,1,1.98269e-006,0.91465,1.8293,0,0,0,2.73227,1.19633,55.3548
1,Meas 6,OK,2018-04-30,14:31:25,134540000,15.047,0.0256,456741,3540,100,0,456741,3540,15,5,1.00041,0.86389,0.180157,0.180082,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16176,3119,Aqueous,0.746828,4.42861e-007,4.09489,8.18978,0.285214,6.96513,0.0696513,91.1386,0.999941,1.57921,14176.9,3629.67,0.000645781,100%,5,5,0,No Offset,3,2,,,,,2,4.30188e-007,4.21552,8.43104,0.553656,13.1337,0.0172495,97.5451,98.8037,44.6452
2,Meas 7,OK,2018-04-30,14:32:08,134540000,15.0673,0.0198,462808,4470,100,0,462808,4470,15,5,1.00061,0.881472,0.183261,0.183151,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16112,3119,Aqueous,0.727967,4.08981e-007,4.44765,8.8953,0.24244,5.45096,0.0545096,110.58,0.999924,1.87408,13092.9,2963.51,0.000762052,100%,5,5,0,No Offset,2,2,,,,,1,3.15499e-006,0.576549,1.1531,0.0737912,12.7988,0.0163809,0.928075,0.634303,76.1457
2,Meas 7,OK,2018-04-30,14:32:08,134540000,15.0673,0.0198,462808,4470,100,0,462808,4470,15,5,1.00061,0.881472,0.183261,0.183151,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16112,3119,Aqueous,0.727967,4.08981e-007,4.44765,8.8953,0.24244,5.45096,0.0545096,110.58,0.999924,1.87408,13092.9,2963.51,0.000762052,100%,5,5,0,No Offset,2,2,,,,,2,3.91209e-007,4.64971,9.29941,0.247461,5.32209,0.00283246,122.693,99.3657,23.8543
3,Meas 8,OK,2018-04-30,14:32:45,134540000,14.9768,0.0171,467726,3400,100,0,467726,3400,15,5,1.00061,0.882387,0.183836,0.183723,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16397,3119,Aqueous,0.728166,3.97552e-007,4.56158,9.12316,0.298035,6.5336,0.065336,117.321,0.999937,1.53053,12726.7,3154.91,0.000654406,100%,5,5,0,No Offset,3,2,,,,,1,1.03492e-006,1.75227,3.50454,0.236278,13.4841,0.0181822,12.5071,3.00979,38.6136
3,Meas 8,OK,2018-04-30,14:32:45,134540000,14.9768,0.0171,467726,3400,100,0,467726,3400,15,5,1.00061,0.882387,0.183836,0.183723,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16397,3119,Aqueous,0.728166,3.97552e-007,4.56158,9.12316,0.298035,6.5336,0.065336,117.321,0.999937,1.53053,12726.7,3154.91,0.000654406,100%,5,5,0,No Offset,3,2,,,,,2,3.75224e-007,4.83302,9.66605,0.4318,8.93437,0.0079823,134.312,96.9902,61.3864
4,Meas 9,OK,2018-04-30,14:33:22,134540000,14.964,0.00638,460685,4690,100,0,460685,4690,15,5,1.00061,0.882996,0.183867,0.183755,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16437,3119,Aqueous,0.732048,3.91287e-007,4.63462,9.26924,0.145076,3.13028,0.0313028,121.764,0.999937,2.01265,12526.5,2148.38,0.000656792,100%,5,5,0,No Offset,2,1,,,,,1,3.82955e-007,4.73545,9.4709,0.246627,5.20811,0.00271244,128.053,100,100
5,Meas 10,OK,2018-04-30,14:33:59,134540000,14.9863,0.00329,464415,2490,100,0,464415,2490,15,5,1.00062,0.883349,0.184388,0.184274,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16367,3119,Aqueous,0.730222,3.9339e-007,4.60984,9.21968,0.225548,4.89274,0.0489274,120.246,0.999869,1.97823,12593.8,2700.46,0.000698062,100%,5,5,0,No Offset,2,1,,,,,1,3.81629e-007,4.7519,9.50381,0.288695,6.07536,0.003691,129.096,100,100
6,14.994C,OK,2018-04-30,14:35:20,134540000,14.9939,0.00264,466221,3880,100,0,466221,3880,51,0.25,1.00062,0.884617,0.18602,0.185904,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16343,3119,Aqueous,0.737067,3.91726e-007,4.62942,9.25884,0.337282,7.28562,0.0728562,121.445,1.00014,1.52423,12539.7,3284.48,0.000641152,100%,5,5,0,No Offset,4,3,,,,,1,3.92543e-007,4.61979,9.23957,0.276497,5.98507,0.0035821,120.854,96.4715,99.9452
6,14.994C,OK,2018-04-30,14:35:20,134540000,14.9939,0.00264,466221,3880,100,0,466221,3880,51,0.25,1.00062,0.884617,0.18602,0.185904,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16343,3119,Aqueous,0.737067,3.91726e-007,4.62942,9.25884,0.337282,7.28562,0.0728562,121.445,1.00014,1.52423,12539.7,3284.48,0.000641152,100%,5,5,0,No Offset,4,3,,,,,2,7.30168e-008,24.8363,49.6726,2.26856,9.13406,0.0083431,6185.9,2.41022,0.0186715
